,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloVelDisp,SubhaloHalfmassRad,SubhaloMassInHalfRad,SubhaloVmax,SubhaloStellarPhotometrics,SubhaloBHMass,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhaloMassInHalfRadGas,SubhaloMassInHalfRadDM,SubhaloMassInHalfRadNone,SubhaloMassInHalfRadTracers,SubhaloMassInHalfRadStellar,SubhaloMassInHalfRadBH,SubhalosSFR,SubhaloGasFraction
121863,4371211,75867124023437.5,True,24707805,1.0312054,[-53.282322  88.40805  -47.589222],394.6708,353.721,1213190078735.3516,688.4738,"[-22.6614   -23.021679 -23.84993  -26.72514  -23.461246 -24.180635
 -24.526903 -24.773766]",2354368269.443512,10968283691406.25,64247734375000.0,0.0,0.0,648752899169.9219,2354368269.443512,6588850617.408752,879871139526.3672,0.0,0.0,324375724792.48047,0.23543683,0.0015895195490380595,0.020312403530270254
125027,4371211,39921994628906.25,True,12699509,6.3868275,[-172.09836 -432.2853  -460.56653],319.68134,298.71048,859773101806.6406,537.0899,"[-22.782866 -23.036404 -23.817312 -26.706572 -23.45524  -24.138088
 -24.47853  -24.72854 ]",2054569274.187088,4968319091796.875,34371767578125.0,0.0,0.0,579852905273.4375,2054733186.9602203,16353144645.690918,551440010070.8008,0.0,0.0,289925994873.0469,0.20539331,0.011014564919460524,0.05640454783246204
128393,4371211,68175820312500.0,True,22002000,0.22364043,[-222.39381     5.324078 -387.12704 ],392.04288,298.91046,1894306182861.3281,702.8753,"[-22.943533 -23.364174 -24.233139 -27.16349  -23.821003 -24.57378
 -24.930647 -25.186106]",3056552708.1489563,9068305053710.938,58212197265625.0,0.0,0.0,892258911132.8125,3060036599.636078,15330884456.634521,1429789428710.9375,0.0,0.0,446129150390.625,0.30566913,0.00025064521542232177,0.03436422937889397
131047,4371211,65814169921875.0,True,20604743,0.80919886,[421.91245   43.287846 188.75183 ],359.60648,403.4087,1043317642211.9141,608.03534,"[-22.574953 -22.957483 -23.805962 -26.708933 -23.405884 -24.14069
 -24.490566 -24.740381]",2037134468.5554504,8499313964843.75,56766938476562.5,0.0,0.0,545877189636.23047,2038217782.9742432,5931280851.364136,762411117553.7109,0.0,0.0,272938556671.14258,0.20366956,0.0014823826159378547,0.021731194462607937
137885,4371211,63455927734375.0,True,20325176,1.4048997,[133.70189   18.201284 172.96712 ],372.1851,354.28638,1336366882324.2188,630.2814,"[-22.56255  -22.91399  -23.745054 -26.61936  -23.354527 -24.076815
 -24.423956 -24.66969 ]",2052780836.8206024,8628574829101.5625,54250854492187.5,0.0,0.0,574449462890.625,2052780836.8206024,12300100326.538086,1034789276123.0469,0.0,0.0,287224674224.8535,0.20527808,0.002445645452095672,0.042823968239264036
140721,4371211,52622978515625.0,True,16823700,0.5164317,[  74.81153  -31.639   -180.16702],326.16702,322.87375,969690246582.0312,594.00726,"[-22.408562 -22.779028 -23.62322  -26.504486 -23.225313 -23.957813
 -24.307184 -24.553806]",2284974902.868271,7132278442382.8125,44978369140625.0,0.0,0.0,510048828125.0,2285435348.749161,5786316394.805908,706595687866.2109,0.0,0.0,255024089813.23242,0.22841749,0.0010125142158660659,0.022689293388101228
143884,4371211,56758710937500.0,True,18493060,2.5740514,[-154.97525    14.615528   -9.513607],375.16293,276.7458,1650075378417.9688,680.36993,"[-23.10454  -23.49815  -24.355314 -27.315697 -23.949024 -24.695124
 -25.054688 -25.316063]",3470458388.3285522,7311643676757.8125,48396318359375.0,0.0,0.0,1047278213500.9766,3471202552.318573,15095127820.968628,1107875061035.1562,0.0,0.0,523638877868.65234,0.3466288,0.002457848685262534,0.028827362632831543
146176,4371211,25596101074218.75,True,7913016,3.5073578,[-86.87275  172.07167  -74.924736],267.28543,250.48473,786532440185.5469,470.3669,"[-22.523663 -22.834301 -23.652248 -26.566996 -23.268791 -23.981707
 -24.329082 -24.582312]",1585717946.2909698,2666041870117.1875,22424101562500.0,0.0,0.0,504373283386.23047,1585717946.2909698,13323253393.173218,519437141418.45703,0.0,0.0,252186317443.84766,0.1585718,0.006953892982241584,0.05283099229259257
152031,4371211,45408691406250.0,True,14528924,0.7692128,[173.6311   -16.173656 342.563   ],326.17822,334.1798,850913238525.3906,540.9716,"[-22.34572  -22.752382 -23.618385 -26.562447 -23.207253 -23.9596
 -24.318787 -24.576817]",1934970319.2710876,5970604248046.875,38910222167968.75,0.0,0.0,525927734375.0,1936608552.9327393,4265540540.2183533,581749191284.1797,0.0,0.0,262963237762.45117,0.19352655,0.0014625826555754457,0.016221052708788312
154493,4371211,51855151367187.5,True,16330672,0.12671354,[-45.60071  39.48403 147.21425],370.0241,306.1274,999974975585.9375,606.3567,"[-22.371851 -22.798115 -23.673273 -26.618143 -23.256765 -24.017054
 -24.37833  -24.636383]",2521843016.1476135,6513444213867.1875,44750229492187.5,0.0,0.0,588950386047.3633,2522909045.2194214,2555812597.2747803,700422592163.0859,0.0,0.0,294474658966.06445,0.25218406,0.00021515147477997414,0.008679227632858265
