,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
526302,4371211,1.1432433,True,6080,0.12198075,0.7881903,0.0,0.0,0.23283051,0.00024177389
526326,4371211,48.610783,True,152160,5.3171787,42.235172,0.0,0.0,1.0536096,0.0048219115
526360,4371211,41.2912,True,127875,5.0799813,35.676357,0.0,0.0,0.53223354,0.0026287292
526361,4371211,6.2083793,True,17987,0.6761788,5.461719,0.0,0.0,0.07038068,0.00010058029
526362,4371211,5.3651977,True,13294,0.3182149,5.010747,0.0,0.0,0.03608206,0.00015375564
526404,4371211,52.953808,True,158820,5.260392,46.777252,0.0,0.0,0.911751,0.0044141873
526405,4371211,3.7607958,True,12604,0.4098269,3.1694453,0.0,0.0,0.18138538,0.00013818075
526445,4371211,55.430157,True,172841,5.978533,48.234314,0.0,0.0,1.2120606,0.00524757
526476,4371211,56.27813,True,139757,2.2096949,53.140408,0.0,0.0,0.9241933,0.0038314709
526477,4371211,5.5936294,True,15751,0.07539605,5.1866865,0.0,0.0,0.32918864,0.0023579865
526509,4371211,53.978264,True,171336,6.2626553,46.447617,0.0,0.0,1.2650125,0.0029792541
526546,4371211,39.106525,True,104704,2.3521113,35.944817,0.0,0.0,0.8067871,0.0028130547
526547,4371211,8.095589,True,21673,0.48367748,7.4364924,0.0,0.0,0.17460442,0.00081443135
526581,4371211,54.28069,True,162125,4.717573,48.08618,0.0,0.0,1.4726585,0.0042743185
526622,4371211,51.54703,True,159758,5.3906016,44.872246,0.0,0.0,1.2806954,0.003487396
526623,4371211,3.413105,True,10186,0.4204519,2.957104,0.0,0.0,0.035387527,0.00016163324
526667,4371211,63.830383,True,168959,1.6659627,59.89033,0.0,0.0,2.2655852,0.0085053425
526696,4371211,58.395508,True,175726,4.806527,51.861813,0.0,0.0,1.718541,0.00862851
526718,4371211,37.820827,True,116487,3.3778367,33.29864,0.0,0.0,1.1408224,0.0035275787
526719,4371211,10.576297,True,35082,1.7296154,8.742391,0.0,0.0,0.10393447,0.00035577282
526756,4371211,56.27351,True,171787,5.544082,49.614532,0.0,0.0,1.1097354,0.00515927
526757,4371211,0.5597642,True,1420,0.0177613,0.527314,0.0,0.0,0.014688927,0.0
526789,4371211,55.89535,True,171270,4.4150367,49.466908,0.0,0.0,2.0048103,0.008599362
526820,4371211,52.162727,True,170054,4.625878,45.10936,0.0,0.0,2.4235835,0.0039032956
526833,4371211,54.3843,True,163841,2.9301047,48.913807,0.0,0.0,2.5350173,0.0053707636
526848,4371211,74.88882,True,174869,0.24290766,72.83202,0.0,0.0,1.7941101,0.019780755
526865,4371211,51.52185,True,163110,6.5023828,44.163433,0.0,0.0,0.8530928,0.0029435228
526866,4371211,2.0493925,True,5611,0.11743081,1.8741639,0.0,0.0,0.05765783,0.00013988162
526867,4371211,0.26294318,True,2157,0.054236658,0.12133783,0.0,0.0,0.086077124,0.0012915703
526902,4371211,37.257984,True,107628,3.2375078,33.351727,0.0,0.0,0.6671643,0.0015885646
526903,4371211,12.081629,True,33892,0.9017918,10.944673,0.0,0.0,0.23377381,0.001390902
526946,4371211,35.456905,True,116374,5.127836,29.736362,0.0,0.0,0.59016603,0.0025390885
526947,4371211,9.544614,True,28987,1.2235699,8.241366,0.0,0.0,0.07953889,0.00013805235
526989,4371211,54.17397,True,164120,5.987484,47.548252,0.0,0.0,0.636573,0.0016616101
526990,4371211,1.820559,True,5353,0.22778378,1.5778974,0.0,0.0,0.014755855,0.0001220337
527037,4371211,49.215935,True,151016,6.1072397,42.804447,0.0,0.0,0.30291715,0.0013311226
527038,4371211,2.6402595,True,8945,0.44110382,2.1456573,0.0,0.0,0.05337054,0.00012773035
527039,4371211,1.4289544,True,4093,0.12758678,1.2679803,0.0,0.0,0.03322118,0.00016603798
527081,4371211,57.68502,True,150758,1.9640319,54.062576,0.0,0.0,1.6496685,0.008743961
527123,4371211,65.99377,True,171388,0.8938656,62.6083,0.0,0.0,2.4806566,0.010946127
527148,4371211,32.204304,True,104922,4.0617275,27.2818,0.0,0.0,0.8590941,0.001680265
527149,4371211,12.597721,True,38958,1.4021696,10.893609,0.0,0.0,0.3003303,0.0016121614
527183,4371211,70.71785,True,165790,0.6695506,68.503296,0.0,0.0,1.5346001,0.010407852
527230,4371211,48.36857,True,149334,5.3711624,42.180065,0.0,0.0,0.8145291,0.0028120223
527231,4371211,6.628531,True,18298,0.5302598,5.9925723,0.0,0.0,0.10527818,0.00042099896
527258,4371211,53.60144,True,165088,6.013128,46.584625,0.0,0.0,1.0006919,0.0029925678
527259,4371211,1.5178535,True,4931,0.24293214,1.2578689,0.0,0.0,0.016905073,0.00014746342
527288,4371211,54.804153,True,172526,4.7969933,47.875862,0.0,0.0,2.1267257,0.004570584
527306,4371211,54.593624,True,173658,5.373808,47.2899,0.0,0.0,1.9238194,0.006092852
527326,4371211,56.294674,True,174369,5.7805142,49.1125,0.0,0.0,1.3986505,0.0030098269
527343,4371211,52.437286,True,171926,6.5910277,44.578506,0.0,0.0,1.2644789,0.0032708114
527377,4371211,41.621662,True,127971,5.020592,36.261307,0.0,0.0,0.33800924,0.0017538283
527378,4371211,6.7687774,True,19186,0.5459574,6.1022816,0.0,0.0,0.120006196,0.00053221686
527379,4371211,3.9272196,True,13214,0.38441816,3.3120172,0.0,0.0,0.22990088,0.0008834541
527419,4371211,57.652958,True,169969,4.821153,51.420444,0.0,0.0,1.4045314,0.0068283956
527441,4371211,29.813763,True,89563,2.9237306,26.210487,0.0,0.0,0.677338,0.0022051986
527442,4371211,19.245193,True,56135,1.7738273,17.164753,0.0,0.0,0.30560464,0.0010094591
527473,4371211,43.778236,True,142264,6.2314086,36.93726,0.0,0.0,0.60702336,0.0025463318
527474,4371211,7.2811084,True,20033,0.5338124,6.6048226,0.0,0.0,0.14177637,0.0006971787
527508,4371211,57.57789,True,171033,4.239812,51.562004,0.0,0.0,1.770761,0.0053104684
527538,4371211,46.677353,True,143743,1.9793502,41.882786,0.0,0.0,2.8100824,0.005134688
527539,4371211,5.36893,True,13090,0.309324,5.039059,0.0,0.0,0.020417104,0.00012956891
527554,4371211,48.006313,True,155684,5.488495,41.03797,0.0,0.0,1.475895,0.003952561
527555,4371211,4.3765945,True,12109,0.4308067,3.9303346,0.0,0.0,0.015339566,0.00011367449
527595,4371211,49.51034,True,148064,5.5691824,43.532475,0.0,0.0,0.4064637,0.0022192919
527596,4371211,4.8345637,True,13355,0.40954593,4.352489,0.0,0.0,0.07235716,0.00017165476
527597,4371211,0.76847875,True,2155,0.025577335,0.70375943,0.0,0.0,0.039142024,0.0
527624,4371211,66.3145,True,166926,0.73811007,63.37475,0.0,0.0,2.1896281,0.012010055
527625,4371211,1.3071262,True,3835,0.07293344,1.1789993,0.0,0.0,0.05519352,0.0
527647,4371211,31.510588,True,95286,2.8166213,27.75603,0.0,0.0,0.93568224,0.0022545154
527648,4371211,12.158093,True,35716,0.82115346,10.892598,0.0,0.0,0.4426971,0.0016445759
527682,4371211,55.60471,True,168958,5.913961,48.82129,0.0,0.0,0.8644935,0.0049678637
527685,4371211,0.10220558,True,946,0.007306292,0.042468242,0.0,0.0,0.052431047,0.0
527712,4371211,33.177853,True,98860,3.79294,29.13473,0.0,0.0,0.24914172,0.0010392814
527713,4371211,6.04395,True,20269,1.0013143,4.9338994,0.0,0.0,0.108497165,0.00023913433
527714,4371211,4.181623,True,10368,0.25803167,3.9091005,0.0,0.0,0.014375012,0.00011607294
527715,4371211,4.0155416,True,9743,0.2055868,3.7822013,0.0,0.0,0.027662659,9.054348e-05
527744,4371211,56.53816,True,141417,0.93792087,53.936184,0.0,0.0,1.6544574,0.009596634
527745,4371211,10.98466,True,28905,0.48580635,10.230296,0.0,0.0,0.2667415,0.0018167902
527764,4371211,56.91423,True,169592,4.1061487,50.91032,0.0,0.0,1.887938,0.009825189
527787,4371211,49.70349,True,159385,5.737565,42.799896,0.0,0.0,1.1590335,0.006993875
527788,4371211,1.7603601,True,5597,0.19415279,1.5045891,0.0,0.0,0.061618216,0.0
527822,4371211,45.233013,True,143293,5.4876356,38.931244,0.0,0.0,0.8119763,0.0021595445
527823,4371211,3.5918176,True,10962,0.4743752,3.0799587,0.0,0.0,0.037339658,0.00014421903
527824,4371211,2.0661466,True,7772,0.397266,1.592559,0.0,0.0,0.07620296,0.000118591786
527857,4371211,32.041927,True,99568,3.7540553,27.619524,0.0,0.0,0.66647774,0.0018722541
527858,4371211,16.925327,True,51893,1.6546714,14.757208,0.0,0.0,0.5128322,0.0006147955
527891,4371211,55.299553,True,168226,4.6148043,48.809658,0.0,0.0,1.8711331,0.003956714
527905,4371211,53.006634,True,167920,5.1747904,46.013832,0.0,0.0,1.8112494,0.0067589832
527926,4371211,51.932873,True,160947,5.770897,45.232216,0.0,0.0,0.9260499,0.0037110846
527969,4371211,55.413715,True,166676,5.2122803,49.033123,0.0,0.0,1.1636285,0.0046831844
527970,4371211,1.1673665,True,3888,0.17539419,0.96160233,0.0,0.0,0.030200148,0.00016980396
