,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloVel,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
547017,4371211,41.124855,True,126322,1.6943816,[-54.664173 -72.30332  -55.146523],3.4333804,36.28001,0.0,0.0,1.4092013,0.0022633132,0.12023701667785645
547038,4371211,36.752037,True,119117,1.6244919,[ 102.767235  -70.93682  -228.02612 ],4.4658585,31.324371,0.0,0.0,0.95854956,0.0032549982,0.1694739580154419
547056,4371211,38.449783,True,117321,1.3426567,[-182.73032  104.63887  369.21478],3.7637439,33.82292,0.0,0.0,0.85958475,0.0035362493,0.15619829893112183
547081,4371211,41.55422,True,122033,1.5516597,[-125.48206  210.27805 -297.5082 ],3.5570457,37.040394,0.0,0.0,0.95387447,0.002900944,0.16266916990280153
547107,4371211,42.362465,True,122419,1.3601654,[ -32.087036  144.84595  -355.03824 ],2.6146326,38.368538,0.0,0.0,1.3737168,0.005576487,0.09901351928710939
547126,4371211,40.659275,True,128275,2.7841773,[118.37324    -1.9651363  -0.4767706],4.6365037,35.19353,0.0,0.0,0.82490957,0.004329048,0.33751304149627687
547150,4371211,30.273115,True,91216,0.20385545,[260.0713  -80.92161 224.25972],3.49594,26.52344,0.0,0.0,0.25250083,0.00123639,0.08073456883430481
547211,4371211,42.691334,True,127682,1.2532499,[237.47484 115.79029  67.50479],3.8169188,37.94335,0.0,0.0,0.9269629,0.0041026226,0.13519957065582275
547232,4371211,41.353848,True,126137,1.5157315,[-173.9559       3.1962156  -45.71686  ],3.0265653,36.861927,0.0,0.0,1.461041,0.0043141483,0.10374325513839722
547250,4371211,22.98777,True,70548,2.5894983,[ 182.3037   189.58182 -148.36943],1.9347067,20.220444,0.0,0.0,0.8300744,0.002544356,0.3119597673416138
547271,4371211,41.44289,True,124520,1.6520247,[-139.93953  212.12495 -370.7209 ],4.184127,36.568695,0.0,0.0,0.6874389,0.0026303856,0.24031586647033693
547290,4371211,38.568672,True,123813,1.1928014,[ 115.3539  -163.40799  -56.66556],4.607464,33.057987,0.0,0.0,0.89936703,0.0038535232,0.13262676000595094
547304,4371211,40.979305,True,126537,0.64466256,[-121.80191   81.34704  192.32574],4.2625346,35.750168,0.0,0.0,0.96152425,0.0050767944,0.0670458972454071
547327,4371211,25.303804,True,83995,0.42025363,[-319.95474  239.1998  -209.42197],4.167515,20.961111,0.0,0.0,0.17428684,0.00089307514,0.2411275625228882
547375,4371211,43.102314,True,128088,1.4517192,[-242.49953  280.44934 -174.39201],4.257363,38.133446,0.0,0.0,0.70841724,0.0030886077,0.2049243211746216
547399,4371211,38.891354,True,115009,1.8801777,[ -41.572598     5.5703125 -132.3824   ],3.2181988,34.55095,0.0,0.0,1.1191022,0.0031068854,0.1680076837539673
