,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
580172,4371211,22.751719,True,71574,0.8638645,3.0484202,19.408491,0.0,0.0,0.29323065,0.0015755689
580197,4371211,21.851252,True,70979,0.8560892,3.0340343,18.355886,0.0,0.0,0.46031895,0.001011981
580214,4371211,26.516388,True,76323,0.96847975,2.3222027,23.783731,0.0,0.0,0.4086107,0.0018436674
580225,4371211,26.922606,True,79676,0.84699744,2.3619943,23.98849,0.0,0.0,0.5683101,0.0038120998
580236,4371211,26.156963,True,70274,0.43272126,0.8487733,24.361097,0.0,0.0,0.94222957,0.004863646
580242,4371211,26.569914,True,77925,0.75506425,2.8253374,23.405056,0.0,0.0,0.33847862,0.0010403736
580256,4371211,25.145323,True,77273,1.1788443,2.785627,21.852438,0.0,0.0,0.50631905,0.0009393458
580269,4371211,26.095848,True,74279,0.45675978,2.4868362,23.41618,0.0,0.0,0.19208112,0.0007525288
580293,4371211,25.242369,True,77374,2.4333408,3.130562,21.853954,0.0,0.0,0.2568733,0.0009790731
580306,4371211,26.127283,True,77204,0.80294645,2.1993573,23.33023,0.0,0.0,0.5960986,0.0015955765
580324,4371211,20.237732,True,60596,0.273126,1.9865701,17.846773,0.0,0.0,0.40204805,0.0023414074
580340,4371211,23.805115,True,70185,0.25955814,2.6151066,21.080425,0.0,0.0,0.1091693,0.00041331945
580364,4371211,26.256645,True,76376,0.5504735,2.1307912,23.554707,0.0,0.0,0.5692579,0.0018888216
580376,4371211,16.620562,True,38793,0.20533465,0.3090917,16.018616,0.0,0.0,0.2915187,0.001335155
580397,4371211,27.096169,True,79332,0.99159163,2.324414,24.224592,0.0,0.0,0.544005,0.0031574073
580408,4371211,24.77757,True,76452,0.8287229,2.5385454,21.611784,0.0,0.0,0.6259021,0.0013385221
580420,4371211,27.497272,True,79985,0.18769781,2.7563617,24.483952,0.0,0.0,0.25609106,0.00086731644
580434,4371211,26.655968,True,79389,1.4041109,2.4261966,23.65835,0.0,0.0,0.5688626,0.0025601191
580445,4371211,26.943638,True,78540,1.029416,1.8667731,24.307507,0.0,0.0,0.76564646,0.003711874
580458,4371211,21.838785,True,63793,1.0373485,1.9211217,19.483316,0.0,0.0,0.43211883,0.0022288344
580474,4371211,25.458963,True,75437,1.2891558,2.3914824,22.642145,0.0,0.0,0.42278773,0.0025489512
580492,4371211,25.054255,True,78429,1.2811731,3.1958716,21.46719,0.0,0.0,0.39010784,0.0010846942
580578,4371211,26.192734,True,78361,1.6726842,1.8097001,23.343376,0.0,0.0,1.0360737,0.0035832138
580585,4371211,17.736511,True,50352,0.37978208,1.549885,15.93924,0.0,0.0,0.24583836,0.001546722
580605,4371211,25.429623,True,71950,0.4004171,2.0512102,22.93285,0.0,0.0,0.44460863,0.0009538302
580629,4371211,26.514126,True,78709,1.5205771,1.9047071,23.742275,0.0,0.0,0.8622957,0.0048492244
580639,4371211,17.924023,True,51523,2.252693,1.6124723,15.937724,0.0,0.0,0.37324873,0.0005778345
580656,4371211,24.44172,True,71894,0.8379122,2.3393667,21.668915,0.0,0.0,0.43199578,0.0014417917
580670,4371211,26.374115,True,78287,1.6249105,2.837164,23.228611,0.0,0.0,0.30689386,0.0014459204
580681,4371211,25.656267,True,75764,0.44646472,2.4808962,22.819601,0.0,0.0,0.35386387,0.0019046419
580702,4371211,20.658268,True,60766,0.57655436,2.138724,18.31999,0.0,0.0,0.19877714,0.00077684876
580729,4371211,23.640495,True,74516,0.21954504,3.0206742,20.258362,0.0,0.0,0.3600699,0.0013882349
580748,4371211,26.179821,True,75827,0.5127401,2.6849782,23.297369,0.0,0.0,0.19652285,0.00095104903
580760,4371211,25.12149,True,77811,1.0060636,3.2540908,21.646164,0.0,0.0,0.21938416,0.0018517174
580774,4371211,24.637598,True,75690,1.1144739,2.276506,21.63858,0.0,0.0,0.71935946,0.0031528084
580786,4371211,26.445995,True,77442,0.29284647,1.8994063,23.806988,0.0,0.0,0.7358384,0.0037622466
580799,4371211,25.02621,True,76958,0.9319319,2.5859344,21.885805,0.0,0.0,0.5523838,0.0020862054
580815,4371211,25.605268,True,75820,0.73240924,2.65253,22.57996,0.0,0.0,0.37164685,0.0011333354
580836,4371211,22.080002,True,62311,0.7079631,1.4809262,20.007092,0.0,0.0,0.5897151,0.002268088
580865,4371211,27.088469,True,79644,0.615249,2.3005736,24.13561,0.0,0.0,0.6500029,0.002281214
580870,4371211,26.12084,True,79746,1.1056658,2.3223903,23.012732,0.0,0.0,0.78239983,0.0033190036
580875,4371211,26.012604,True,76109,1.3499578,2.7084565,23.001102,0.0,0.0,0.30197838,0.0010667951
580893,4371211,25.453022,True,76083,1.3193167,1.9727203,22.710398,0.0,0.0,0.7672788,0.00262496
580902,4371211,25.499472,True,75497,2.9644074,2.4196043,22.55569,0.0,0.0,0.52270794,0.0014682339
580917,4371211,26.07077,True,78588,0.983443,2.859911,22.87016,0.0,0.0,0.33937138,0.0013290739
580929,4371211,20.26787,True,62392,0.7885864,2.4774203,17.586908,0.0,0.0,0.20288636,0.0006562261
580953,4371211,25.309631,True,75097,1.2083278,2.504185,22.377224,0.0,0.0,0.42611986,0.0021032414
580964,4371211,24.958008,True,76700,0.62932205,3.1510673,21.569317,0.0,0.0,0.23657839,0.0010469599
580987,4371211,24.52535,True,69096,0.7593909,1.5484045,22.28622,0.0,0.0,0.68909264,0.0016328179
580999,4371211,26.193373,True,77849,1.445399,2.8036432,23.01627,0.0,0.0,0.37230825,0.0011518911
581013,4371211,27.067986,True,79894,0.6175415,2.3984928,24.161396,0.0,0.0,0.50462246,0.0034745985
581021,4371211,26.288834,True,77227,0.8934936,2.5436344,23.40809,0.0,0.0,0.33574748,0.0013624978
581043,4371211,24.351,True,73670,0.38350624,2.5534325,21.41815,0.0,0.0,0.37745804,0.0019598422
581064,4371211,25.137388,True,73211,1.1739191,2.283713,22.352451,0.0,0.0,0.49991643,0.0013076701
581081,4371211,25.903303,True,76619,0.84421325,2.5338614,23.002113,0.0,0.0,0.36571765,0.0016106209
581098,4371211,25.194374,True,77668,0.6458189,3.0816622,21.852943,0.0,0.0,0.25887364,0.0008940092
581108,4371211,23.864466,True,68043,0.18971659,2.3679242,21.232603,0.0,0.0,0.26293033,0.0010065837
581118,4371211,26.017344,True,77860,1.0593158,2.7135417,22.958633,0.0,0.0,0.34336165,0.0018062955
581134,4371211,26.14406,True,77237,1.5689894,2.437674,23.256924,0.0,0.0,0.44759193,0.0018708875
581148,4371211,26.018944,True,77698,0.9775453,2.131628,23.110813,0.0,0.0,0.77466583,0.0018385958
581164,4371211,21.53288,True,64878,0.7961904,2.3435166,18.876122,0.0,0.0,0.31203365,0.0012086045
581174,4371211,25.78022,True,74859,0.9216149,2.0752668,23.171482,0.0,0.0,0.53020185,0.0032694077
581185,4371211,26.12427,True,70264,1.0902007,1.170578,24.208414,0.0,0.0,0.74252194,0.0027549027
581198,4371211,26.923273,True,77043,0.44433668,2.2516172,24.23976,0.0,0.0,0.42963344,0.002262986
581209,4371211,25.4833,True,72746,0.49851167,2.3337991,22.885326,0.0,0.0,0.2629264,0.0012483579
581230,4371211,26.0837,True,72260,1.4477515,1.8457907,23.712952,0.0,0.0,0.5218684,0.0030898945
581237,4371211,24.87801,True,75979,1.0475147,2.5475357,21.84637,0.0,0.0,0.48213726,0.0019651859
581252,4371211,18.36804,True,54339,0.42650327,1.9030217,16.271908,0.0,0.0,0.19185565,0.0012540254
581274,4371211,25.5769,True,75042,0.7820573,2.460753,22.73062,0.0,0.0,0.3839668,0.001560032
