,Unnamed: 0,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloSFR,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH,SubhalosSFR
515,400426,4371211,338.20975,True,848912,0.0,7.1417885,321.95224,0.0,0.0,9.085496000000001,0.030224717999999998,0.0
517,400694,4371211,226.7437,True,554925,0.0,8.815081,215.21388,0.0,0.0,2.6927328,0.022002888999999998,0.0
518,400846,4371211,281.90182000000004,True,749090,0.26878044,15.182823999999998,261.53107,0.0,0.0,5.171025299999999,0.016905798,0.005197817152432034
519,401062,4371211,187.00456,True,484237,0.0,6.3752017,175.83217,0.0,0.0,4.7766814,0.02050887,0.0
520,401192,4371211,231.83128,True,637831,0.038275216,9.118108,214.71132999999998,0.0,0.0,7.985470299999999,0.016361939,0.0004793107301394635
521,401328,4371211,166.40868,True,453592,0.35228807,8.1587515,153.66223,0.0,0.0,4.574732,0.012956643500000002,0.007700736786329779
522,401535,4371211,258.25687,True,667813,0.056498304000000006,12.769963,241.25551000000002,0.0,0.0,4.2137547,0.01763869,0.0013408066682192015
523,401670,4371211,274.5145,True,727375,0.3995222,9.909763,256.7013,0.0,0.0,7.8844843,0.01893363,0.005067195073240238
524,401859,4371211,306.518,True,775918,0.019683338999999998,10.046477000000001,289.8417,0.0,0.0,6.598101600000001,0.031737222999999995,0.0002983182162578399
528,402483,4371211,309.32122999999996,True,788645,0.0,11.817082000000001,291.4767,0.0,0.0,5.9960580000000006,0.031353306000000004,0.0
529,402635,4371211,269.34476,True,736490,0.0,11.824989,249.62528999999998,0.0,0.0,7.8615265,0.032949317,0.0
530,402769,4371211,187.75137,True,464698,0.0,3.9881914,179.11536999999998,0.0,0.0,4.635207,0.012604627,0.0
531,402979,4371211,285.91402999999997,True,800058,0.063293405,12.8617935,263.03362999999996,0.0,0.0,9.994800999999999,0.023827003,0.000633263283581134
532,403110,4371211,282.22497999999996,True,783363,0.16829762,13.709332,259.75497,0.0,0.0,8.728866,0.031809796,0.0019280582380345858
534,403388,4371211,297.79068,True,728783,0.0,6.913385400000001,284.61102,0.0,0.0,6.2342157,0.032054957,0.0
535,403506,4371211,264.13297,True,630764,0.0,3.9558039,254.5056,0.0,0.0,5.657123,0.014441296999999999,0.0
