,count,SubhaloMass,SubhaloFlag,SubhaloLen,SubhaloMassGas,SubhaloMassDM,None,SubhaloMassTracers,SubhaloMassStellar,SubhaloMassBH
701248,4371211,5.3169103,True,11189,0.04239929,5.2448277,0.0,0.0,0.029541155,0.00014228027
701252,4371211,5.2495413,True,14064,0.44696462,4.7888,0.0,0.0,0.013696676,8.005614e-05
701264,4371211,5.0981975,True,13826,0.46559966,4.6194324,0.0,0.0,0.013026303,0.00013930451
701278,4371211,4.039936,True,12109,0.5213859,3.4980686,0.0,0.0,0.020292388,0.00018930715
701280,4371211,5.095299,True,14246,0.4466867,4.600726,0.0,0.0,0.047785316,0.00010079307
701285,4371211,4.5169926,True,11611,0.29904485,4.1730103,0.0,0.0,0.044847913,8.9792535e-05
701293,4371211,5.8217998,True,14278,0.31880826,5.492559,0.0,0.0,0.010260875,0.00017137751
701297,4371211,5.129117,True,13392,0.37767413,4.730153,0.0,0.0,0.021194048,9.594299e-05
701300,4371211,4.818732,True,11273,0.18161401,4.5992093,0.0,0.0,0.037771273,0.00013713153
701302,4371211,5.670093,True,12417,0.13180639,5.5249157,0.0,0.0,0.013266411,0.000104559775
701306,4371211,4.878112,True,13629,0.4902818,4.3747344,0.0,0.0,0.012951187,0.0001443774
701312,4371211,5.2053604,True,13839,0.42403176,4.76706,0.0,0.0,0.014144541,0.00012402111
701316,4371211,5.4923844,True,13910,0.35143763,5.109334,0.0,0.0,0.031526096,8.682547e-05
701318,4371211,4.9277587,True,13760,0.46791798,4.4161916,0.0,0.0,0.04351303,0.00013636718
701337,4371211,4.1067233,True,10072,0.22449516,3.865621,0.0,0.0,0.01652622,8.1086015e-05
701354,4371211,4.5635047,True,13127,0.5234467,4.025888,0.0,0.0,0.014038095,0.00013165668
701357,4371211,5.001593,True,13135,0.40238655,4.574436,0.0,0.0,0.024689898,8.021439e-05
701371,4371211,5.0206637,True,13657,0.4666477,4.5405626,0.0,0.0,0.013274206,0.00017920266
701373,4371211,5.395454,True,12675,0.24623768,5.132085,0.0,0.0,0.01704354,8.790544e-05
