S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
1.21828362,2.476242847,149.9675761,0,10.839289,10.839289,0.395758217,10.39378995,718,0.810054898,0.925920248,0.02046,124.4137052,163.4744842,99428
1.36420959,2.405613691,82.66907277,3,10.082156,10.082156,0.628476796,10.73036566,742,1.009562383,0.817425013,0.02596,67.79702053,89.51828746,106042
0.686072638,1.276163797,59.79708741,2,10.5160885,10.5160885,0.729193611,17.81520211,735,0.743264516,0.757524133,0.02567,134.0706574,140.58018,106638
1.972327971,3.955173629,110.8665433,3,10.130558,10.130558,0.777577314,4.982514456,208,0.542370175,0.726297259,0.02568,69.44866542,104.732098,106717
0.700181486,1.850453222,61.19323349,0.5,10.1945,10.1945,0.710936005,5.146155614,639,0.34134751,0.768908143,0.01402,72.85261553,84.73375657,107137
2.010756,2.974585149,92.41159399,3,9.903949,9.903949,0.90102196,10.0089652,497,1.775186571,0.640302896,0.03002,67.51003446,93.95507493,107214
1.697238993,6.489046198,146.4920257,0,11.37,11.37,0.531339333,10.40788184,362,1.234620551,0.868064582,0.04439,294.5897803,312.2708687,136602
0.61765912,1.72969728,50.50566554,0,10.75825,10.75825,0.586322774,8.871456976,576,0.622970955,0.840299308,0.02709,174.0851061,177.7105379,136842
1.647685322,2.369703984,70.15388803,3,9.72616,9.72616,0.477275993,7.155679555,720,1.341543657,0.892988086,0.01926,47.19029592,68.46683892,144178
1.179271214,2.812907974,57.21164542,3,10.093028,10.093028,1.361475148,6.545612932,254,0.538232514,0.285397947,0.01834,63.91264673,75.64001982,144239
0.709460391,0.634813571,16.87316638,3,9.006087,9.006087,0.873774323,2.505256949,783,0.707498737,0.659999967,0.00497,35.16351732,37.13253051,144491
1.405694166,2.163887552,51.61063908,3,9.344743,9.344743,0.903626749,4.864238348,240,1.289158937,0.638400555,0.02164,48.90824937,61.0233225,145583
2.233807668,3.992815576,167.1251895,2.5,10.62488,10.62488,0.741069281,12.91467536,300,1.037375922,0.75,0.05811,76.1357327,140.5776094,176955
1.429838156,3.048526043,113.5123053,2,10.728399,10.728399,0.99005911,12.68657011,651,0.970559566,0.573555648,0.02842,92.54155027,122.5008582,184368
1.162367758,4.247680385,97.55328586,0,10.5982065,10.5982065,0.657468314,3.610619063,221,0.705481627,0.800922632,0.01874,157.1135346,171.5895817,184648
2.725571532,4.932888817,126.3115562,2,10.121877,10.121877,0.578993767,7.363101263,136,1.367029247,0.844137549,0.05192,63.0539909,109.3302812,185282
3.051863745,3.988370981,88.64166963,3,9.183049,9.183049,0.46103838,6.408288289,638,2.533966655,0.899999976,0.02001,64.94669448,90.25932595,185532
2.056401683,4.977226271,116.4776898,2,10.800202,10.800202,0.82623482,11.14499656,294,1.820634222,0.693426549,0.04836,148.1860812,169.536547,197555
1.481241356,2.103957679,58.60608875,3,9.618654,9.618654,0.846865429,3.832146826,486,1.347408173,0.679072857,0.01165,61.51739028,74.1736215,198591
0.757433269,2.780998576,59.2689109,1,10.925868,10.925868,0.742843033,7.677133501,135,0.721060949,0.748868227,0.05168,184.7849152,189.4778794,202399
1.945400406,4.39600805,91.4591525,2,10.184922,10.184922,1.015363671,8.483213015,117,1.333715766,0.554016769,0.05188,90.40164904,111.1523569,202443
1.468420244,2.918078359,107.6634283,2.5,10.575294,10.575294,0.942008899,11.47166865,260,1.016903903,0.610000014,0.04989,75.94062224,107.5299261,202673
2.395845498,4.394057464,100.1726001,3,9.957051,9.957051,0.567641815,6.412220902,175,0.986925201,0.850000083,0.03985,61.71829862,93.94904623,204096
0.960709123,2.267385152,70.08913797,2,10.363828,10.363828,1.311568118,6.505813741,298,0.971213891,0.321059406,0.01743,92.49471303,104.9357688,204799
2.00014146,2.798416646,75.5934095,0,11.201499,11.201499,0.729403269,15.55902191,361,1.939684616,0.757392108,0.05408,265.0381587,270.3745686,205085
2.514366222,4.166490766,85.64423726,2,10.484283,10.484283,1.03554424,8.325774867,97,2.668076329,0.538286805,0.05548,104.0656897,120.4040508,205097
2.47982922,3.158448509,102.0875923,3,9.645551,9.645551,0.527676417,7.514540641,310,2.451234307,0.869828701,0.03464,69.75395499,100.3820327,208520
1.821023055,3.923843923,88.06767948,3,10.166096,10.166096,1.032305044,7.751315847,153,0.888734867,0.540819764,0.04061,76.6223398,98.7367259,209743
2.269646195,4.112410711,84.40627802,3,10.227172,10.227172,0.659058015,8.090859601,140,1.352827227,0.800000012,0.05538,63.56811933,87.19584669,210781
1.175042946,1.855404582,43.18035124,3,9.426083,9.426083,1.321442752,4.314442383,253,1.154506594,0.313788474,0.01277,60.54301045,67.80654453,214182
1.943132473,4.955052797,102.7673997,1.5,10.542709,10.542709,1.156720454,7.072447376,156,0.938815294,0.44204697,0.03333,114.1744486,135.3379988,214184
2.768479008,6.195607539,149.2897483,0,11.446262,11.446262,0.532084336,20.9224744,370,2.653496418,0.867704451,0.07768,325.6545586,342.3369773,214250
2.128671352,5.191264637,126.2742768,2,10.80896,10.80896,0.850950343,9.889831745,192,1.800879584,0.676202655,0.05312,134.9032608,161.7760374,215579
1.672426688,4.004907047,140.3626004,0,10.4779005,10.4779005,0.420847161,3.972350606,297,0.391759918,0.916392982,0.01885,142.3688764,173.550358,216184
1.004955426,2.647709514,100.3027552,2,11.065606,11.065606,1.318366507,9.270989195,360,1.025090354,0.316043764,0.02085,146.7583918,162.9979967,220326
