S05_err,V_rot_err,V_rot,Morph,M_tot,MSAMI,INCMGE,Re,SPAXNUM,Sig_err,EPSMGE,Z,Sig,S05,ID
6.6783356436970305,10.665933244490514,286.69419453939145,0.5,11.076386999999999,11.076386999999999,0.8061715459721503,8.431616487527696,170.0,6.125938142079309,0.707151532173,0.04723,208.00075474828574,290.44981419713764,7839.0
0.8049883780011041,1.4257715700329974,45.15908162694632,3.0,9.272888,9.272888,0.8478025986310366,4.26114165659808,242.0,0.17476011298879715,0.678415179253,0.01964,23.85678439936625,39.85997351444736,8353.0
2.3137256056203834,4.170170672501073,144.40843078734818,2.0,10.357338,10.357338,1.1725131296596032,4.435782992684926,152.0,1.0474276747374065,0.429418742657,0.02051,61.73646599344253,119.32430043621315,8703.0
0.8017971206964669,1.1328149925840358,64.218485077429,2.0,9.975106,9.975106,1.293444921167795,5.428535494625389,173.0,0.9201560144611136,0.334623128176,0.02075,79.49330932274157,91.54885657342236,8706.0
1.3963194684484708,2.9733307234179827,74.91716444380877,2.5,9.431899000000001,9.431899000000001,1.1093309283492463,4.211692482682285,52.0,0.5915772396236925,0.47992375493,0.03362,50.395440902311925,73.11628565435169,9067.0
0.5614321305381779,1.0252595222208216,27.179576054525644,3.0,9.157489,9.157489,1.300386874000842,3.6148343056854246,449.0,0.21053393613694996,0.329396516085,0.006999999999999999,18.742091903339084,26.84456530035605,9163.0
0.4761916750305834,0.9920354799888744,37.7751844616121,3.0,8.7647915,8.7647915,0.9549307438362521,3.4180154778256746,82.0,0.4172065577558762,0.600291013718,0.02554,26.170410825133963,37.394821610895534,14555.0
1.8972706477498151,3.0473223772828666,108.04863707590799,2.5,9.868642,9.868642,0.7151853175672479,4.398036977035231,185.0,0.6584315487420465,0.766278684139,0.02471,32.793882206582445,83.14260458489285,14812.0
6.1262211430831135,9.954870255913713,319.5748969970287,0.5,11.152542,11.152542,0.4369274671747301,11.552203373789501,169.0,2.983261186083666,0.910000085831,0.07755,95.63998479253422,245.37942881677537,15165.0
0.5690573473946637,1.0754586604540393,41.269051362322585,3.0,9.011644,9.011644,1.0191824246504422,6.696008674082414,273.0,0.1876316627995292,0.55104970932,0.02562,26.869183623640648,39.66762318029566,15218.0
0.5225335858674938,0.9284300403174662,21.49538148910501,3.0,8.589376,8.589376,1.3788698413225051,2.0917834930739705,224.0,0.19180842915987412,0.273733943701,0.00603,14.333638107276188,20.89207730388339,16863.0
0.7113537348504623,1.3616259428254642,31.446979935086198,3.0,9.989907,9.989907,0.6407580756759066,11.623247145671806,189.0,0.7498838330574439,0.8105096817020001,0.07048,34.195931403876635,40.789925203381955,22633.0
3.121455260449038,5.283919223093958,131.9553203292602,2.0,10.472706,10.472706,1.0089097737868815,6.270637591630864,131.0,2.8097651462076976,0.559020638466,0.03622,102.36664302137127,138.5100461521246,22887.0
11.912931888700587,20.24794524943229,414.312621574286,0.0,10.961328,10.961328,0.4496074476044473,9.056347724662224,106.0,7.204592694941546,0.904802680016,0.07796,205.78643906715013,358.01610676311304,23265.0
1.723940523608441,2.6862996348186936,84.76265708212536,2.5,9.717974,9.717974,0.7562017987910556,4.394891053118901,235.0,0.3943740865368359,0.740278720856,0.021230000000000002,22.600393905485404,64.05569313100975,23337.0
3.2580021104943198,3.9409511820620167,170.64538972015134,1.0,11.317789999999999,11.317789999999999,0.9175961140578004,23.847618369394205,420.0,3.3055211938917184,0.62814283371,0.07768,198.28642925830692,232.11512778011846,23623.0
1.7512986941762931,2.7548002568901593,143.81067965708527,2.0,10.374132000000001,10.374132000000001,0.8521891767743869,7.670903799660758,598.0,0.8696326000695088,0.675330400467,0.02076,42.730737656922,110.30263701481071,30346.0
1.172080082517462,1.9946231969431605,80.28275222964224,3.0,9.794161,9.794161,0.972627215823931,4.724954637275208,245.0,0.2894870253023841,0.586882650852,0.019819999999999997,32.038120600759285,65.18513116050208,30890.0
0.5807695941264512,1.5086510281279943,33.26435047104729,3.0,9.469799,9.469799,1.4439440733087123,4.045084597525708,72.0,0.30613800871345753,0.23529800772700002,0.02021,31.08199298006084,38.97882494050947,31452.0
2.498361169623703,4.2189658899679925,91.66247792758804,2.0,10.490575999999999,10.490575999999999,1.2936931094068873,5.9336202794770845,210.0,0.8188872477949152,0.334435641766,0.02043,44.3352575161371,78.52782939146459,31620.0
0.801652950997281,1.3904760678312578,29.61661664822329,3.0,8.04524,8.04524,0.600433167356472,3.3711386044607106,120.0,0.5188656969993407,0.832792937756,0.02052,17.183905633764592,27.089824725790216,32249.0
1.190458206633063,1.942041379922892,110.32860587321886,2.0,10.419014,10.419014,0.976755553175766,7.267054091706986,580.0,0.4647214098962576,0.5837368369100001,0.01898,37.555740794263905,86.58310634049792,32362.0
4.2630657138521135,7.482710458729881,191.5018927011441,1.0,10.940301,10.940301,0.991849794236166,9.878653114091307,153.0,4.811858681550513,0.572180271149,0.05512,122.81010744165674,182.80812329842323,36880.0
3.5213354157189416,6.598623133749652,188.1022689927673,2.0,10.708817,10.708817,0.8389599734698241,9.664433184845398,172.0,2.9686859470136544,0.684601306915,0.055260000000000004,91.99019731325451,161.7202158106561,37064.0
1.2982505261073338,1.631217932266947,40.99589364773955,1.5,9.684007000000001,9.684007000000001,1.1047224085747775,2.426087785092095,52.0,1.4671017759293814,0.483597755432,0.02046,55.171958092307406,62.3239649551255,40197.0
2.9915252097482177,4.4142643210526815,265.1937629785566,2.0,10.45646,10.45646,0.4257177185277162,13.585199926870224,708.0,2.024801318791563,0.914480149746,0.02069,52.78684557093276,194.808411077892,40278.0
