,S05_err,V_rot_err,V_rot,Morph_dilyar,M_tot_dilyar,MSAMI,INCMGE,Re_dilyar,SPAXNUM,Sig_err,EPSMGE,Z_dilyar,Sig_dilyar,S05,cataid
13,1.847321995,5.1011703189999995,110.6164824,0.0,10.48335,10.48335,0.38909895,4.019739331,288,0.894420167,0.928356767,0.01962,130.7599926,152.3685623,39057
20,2.488416679,6.17715924,138.0211481,0.0,10.980452,10.980452,0.605611356,11.10990332,102,1.530623359,0.830000043,0.09412999999999999,149.0236487,178.1374934,54921
21,0.84004187,1.784479312,39.79023568,0.0,11.168307,11.168307,0.42170312,7.985487581,663,0.830112913,0.916058302,0.02029,233.0698482,234.7619764,55143
25,0.574199786,1.159770711,26.30542692,0.0,8.95476,8.95476,0.39779532100000004,1.055517802,510,0.526169906,0.925167143,0.00379,43.61001236,47.41118982,70114
33,1.96084003,4.9469929089999995,174.2642344,0.0,11.083569,11.083569,0.634982123,12.60278471,413,1.320815065,0.8137758970000001,0.04997,166.99485790000003,207.5362481,91963
35,1.21828362,2.476242847,149.9675761,0.0,10.839288999999999,10.839288999999999,0.395758217,10.39378995,718,0.810054898,0.925920248,0.02046,124.41370520000001,163.4744842,99428
41,1.697238993,6.489046198,146.4920257,0.0,11.37,11.37,0.531339333,10.40788184,362,1.234620551,0.868064582,0.04439,294.58978030000003,312.2708687,136602
42,0.61765912,1.72969728,50.50566554,0.0,10.75825,10.75825,0.586322774,8.871456976000001,576,0.622970955,0.840299308,0.027089999999999996,174.0851061,177.7105379,136842
49,1.162367758,4.247680385,97.55328586,0.0,10.5982065,10.5982065,0.6574683139999999,3.610619063,221,0.7054816270000001,0.800922632,0.01874,157.11353459999998,171.58958169999997,184648
59,2.00014146,2.798416646,75.59340949999999,0.0,11.201499,11.201499,0.7294032690000001,15.55902191,361,1.9396846159999999,0.757392108,0.054079999999999996,265.0381587,270.37456860000003,205085
66,2.768479008,6.195607539,149.2897483,0.0,11.446261999999999,11.446261999999999,0.532084336,20.9224744,370,2.653496418,0.8677044509999999,0.07768,325.65455860000003,342.3369773,214250
68,1.672426688,4.004907047,140.3626004,0.0,10.4779005,10.4779005,0.420847161,3.9723506060000005,297,0.391759918,0.9163929820000001,0.01885,142.3688764,173.55035800000002,216184
73,0.945472702,1.8508248619999998,45.68317431,0.0,10.955364,10.955364,0.40363999799999994,7.337330364,540,0.957871466,0.922986269,0.02497,190.64855219999998,193.3658363,227266
83,1.5060343390000002,3.938846967,157.23755380000003,0.0,10.7396755,10.7396755,0.5478072979999999,4.92562625,231,0.8810211840000001,0.860000014,0.0262,172.12672990000002,204.9132385,238922
115,2.095086106,5.4410946870000005,109.14572849999999,0.0,11.341434,11.341434,0.333515116,15.16280398,270,1.703536175,0.947163105,0.07124,264.4439139,275.475913,372123
150,1.212237727,2.097563787,43.677839899999995,0.0,11.341275999999999,11.341275999999999,0.7936334629999999,18.934409600000002,445,1.181219893,0.715607762,0.05391,273.1864185,274.9267104,543537
164,1.081732348,1.659588134,44.53116362,0.0,11.123335,11.123335,0.874962171,11.91559938,563,1.074729074,0.65914917,0.02951,221.3282241,223.5569168,594049
168,0.805396943,2.9781280089999997,65.38179296,0.0,11.214858999999999,11.214858999999999,0.414324601,12.39702701,392,0.7577287340000001,0.9189224840000001,0.052129999999999996,231.39239959999998,235.96574339999998,599834
186,1.387657759,2.104662701,48.70394417,0.0,11.73385307,11.73385307,0.754273413,30.41846587,628,1.3764684109999998,0.7415257690000001,0.05534,369.6292542,371.23014789999996,9008500001
187,1.079516546,1.4977959090000001,38.08053729,0.0,11.73398265,11.73398265,0.768111762,30.43691803,670,1.0776208109999998,0.7325241570000001,0.055389999999999995,352.7120211,353.73836869999997,9008500002
189,1.9288741390000002,5.925033094,139.46307480000002,0.0,11.13250285,11.13250285,0.530394107,8.84453206,146,1.836299924,0.868520856,0.0578,292.64634889999996,308.8152525,9008500114
198,0.587978373,1.585210166,37.67329741,0.0,11.59188155,11.59188155,0.601987719,32.59190398,611,0.588373905,0.831956625,0.04453,262.66073140000003,264.0081409,9011900001
203,1.106367944,2.8512606380000003,81.46508649,0.0,11.342818300000001,11.342818300000001,0.52814102,11.73046313,346,1.138255028,0.869605541,0.04493,266.2202305,272.3811507,9011900254
207,2.744028797,4.774020923,205.88958490000002,0.0,11.08933013,11.08933013,0.672998848,19.32125598,566,2.6931134589999997,0.791831315,0.04572,146.63845769999998,206.63518059999998,9011900418
212,0.684733217,2.547343948,62.94474526,0.0,11.47079262,11.47079262,0.619261665,18.89919913,591,0.655521726,0.822540224,0.04419,297.7684818,301.0765504,9011900547
